id,idPlayer,idFormerTeam,strSport,strPlayer,strFormerTeam,strMoveType,strTeamBadge,strJoined,strDeparted
37735,34145337,133668,Soccer,Federico Macheda,Lazio,Youth,https://www.thesportsdb.com/images/media/team/badge/rwqyvs1448806608.png,2001,2007
37736,34145337,133612,Soccer,Federico Macheda,Man United,Youth,https://www.thesportsdb.com/images/media/team/badge/xzqdr11517660252.png,2007,2008
37737,34145337,133612,Soccer,Federico Macheda,Man United,Permanent,https://www.thesportsdb.com/images/media/team/badge/xzqdr11517660252.png,2008,2014
37738,34145337,133683,Soccer,Federico Macheda,Sampdoria,Loan,https://www.thesportsdb.com/images/media/team/badge/wsqyvq1448806793.png,2011,2011
37739,34145337,133605,Soccer,Federico Macheda,QPR,Loan,https://www.thesportsdb.com/images/media/team/badge/l4qscx1601721022.png,2012,2012
37740,34145337,133660,Soccer,Federico Macheda,Stuttgart,Loan,https://www.thesportsdb.com/images/media/team/badge/yppyux1473454085.png,2013,2013
37741,34145337,133620,Soccer,Federico Macheda,Doncaster,Loan,https://www.thesportsdb.com/images/media/team/badge/ssvpvx1424033260.png,2013,2013
37742,34145337,133620,Soccer,Federico Macheda,Doncaster,Loan,https://www.thesportsdb.com/images/media/team/badge/ssvpvx1424033260.png,2013,2014
37743,34145337,133597,Soccer,Federico Macheda,Birmingham,Loan,https://www.thesportsdb.com/images/media/team/badge/ku7icl1601721087.png,2014,2014
37744,34145337,133637,Soccer,Federico Macheda,Cardiff,Permanent,https://www.thesportsdb.com/images/media/team/badge/xtytpt1448808285.png,2014,2016
37745,34145337,133720,Soccer,Federico Macheda,Nottingham F.,Loan,https://www.thesportsdb.com/images/media/team/badge/bk4qjs1546440351.png,2016,2016
37746,34145337,133673,Soccer,Federico Macheda,Novara,Permanent,https://www.thesportsdb.com/images/media/team/badge/xsxxux1429975444.png,2016,2018
34065,34145339,139488,Soccer,Kagisho Dikgacoi,Golden Arrows,Permanent,https://www.thesportsdb.com/images/media/team/badge/gqsagt1583616305.png,2005,2009
34066,34145339,133600,Soccer,Kagisho Dikgacoi,Fulham,Permanent,https://www.thesportsdb.com/images/media/team/badge/xwwvyt1448811086.png,2009,2011
34067,34145339,133632,Soccer,Kagisho Dikgacoi,Crystal Palace,Loan,https://www.thesportsdb.com/images/media/team/badge/rytxyw1448813222.png,2011,2011
34068,34145339,133632,Soccer,Kagisho Dikgacoi,Crystal Palace,Permanent,https://www.thesportsdb.com/images/media/team/badge/rytxyw1448813222.png,2011,2014
34069,34145339,133637,Soccer,Kagisho Dikgacoi,Cardiff,Permanent,https://www.thesportsdb.com/images/media/team/badge/xtytpt1448808285.png,2014,2016
34070,34145339,139488,Soccer,Kagisho Dikgacoi,Golden Arrows,Permanent,https://www.thesportsdb.com/images/media/team/badge/gqsagt1583616305.png,2016,2017
34071,34145339,136482,Soccer,Kagisho Dikgacoi,South Africa,International,https://www.thesportsdb.com/images/media/team/badge/xjz9j91553368824.png,2007,2013
3758,34145340,134258,Soccer,Anthony Pilkington,Stockport,Permanent,https://www.thesportsdb.com/images/media/team/badge/y4k5uz1491769200.png,2006,2009
3759,34145340,133932,Soccer,Anthony Pilkington,Huddersfield Town,Permanent,https://www.thesportsdb.com/images/media/team/badge/qtusqx1420753809.png,2009,2011
3760,34145340,133608,Soccer,Anthony Pilkington,Norwich,Permanent,https://www.thesportsdb.com/images/media/team/badge/uqtwxx1448813449.png,2011,2014
36858,34145340,133637,Soccer,Anthony Pilkington,Cardiff,Permanent,https://www.thesportsdb.com/images/media/team/badge/xtytpt1448808285.png,2014,2019
36859,34145340,133607,Soccer,Anthony Pilkington,Wigan,Permanent,https://www.thesportsdb.com/images/media/team/badge/wtxwyw1448759640.png,2019,2020
45543,34145340,133809,Soccer,Anthony Pilkington,Preston,Youth,https://www.thesportsdb.com/images/media/team/badge/wqtwvw1448811512.png,2003,2004
45544,34145340,133612,Soccer,Anthony Pilkington,Man United,Youth,https://www.thesportsdb.com/images/media/team/badge/xzqdr11517660252.png,2004,2005
45545,34145340,133598,Soccer,Anthony Pilkington,Blackburn,Youth,https://www.thesportsdb.com/images/media/team/badge/rvryut1448810814.png,2005,2005
45546,34145340,133598,Soccer,Anthony Pilkington,Blackburn,Permanent,https://www.thesportsdb.com/images/media/team/badge/rvryut1448810814.png,2005,2005
45547,34145340,137879,Soccer,Anthony Pilkington,Atherton Collieries,Permanent,https://www.thesportsdb.com/images/media/team/badge/jv8xvb1579032428.png,2005,2006
